"TENo","count","inv.mean","inv.std.dev","participants.mean","distinct.cc","Status","Department  _","Department B _","Department C _","Department D _","Department E _","Department F _","Department G _","Department H _","Department I _","Department J _","Department K _","Department M _","Department N _","Department Q _","Department R _","Department S _","Department T _","Department U _","Department V _","Department W _","Department X _","Department Y _","Department Z _","status.bin"
"CN201401010056",8,0.101394621,0.0428045991414563,2.125,1,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010057",15,0.0543647884666667,0.0447662414626066,0.866666666666667,4,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010059",14,0.0597923455,0.0728620009229528,3.28571428571429,2,"Approval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010060",1,0.817964763,NA,0,1,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010061",11,0.0734825195454545,0.0635311273127384,0.818181818181818,3,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010062",4,0.2024402525,0.0720734998494492,1.5,4,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010063",14,0.119080522428571,0.167588623823452,8.14285714285714,2,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010064",16,0.05049213175,0.0352251779527637,0.125,2,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010065",5,0.1643282622,0.277643466865434,2.4,3,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010066",2,0.886114903,0,0,1,"Approval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010067",6,0.1372646115,0.175922850998369,8.66666666666667,1,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010068",9,0.092011301,0.150682380277753,6,1,"Approval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010069",11,0.0734956080909091,0.0816265460475461,0.545454545454545,3,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010070",10,0.0826667103,0.0953957577086469,1.5,3,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010072",17,0.0481970400588235,0.0435382192588169,0.588235294117647,5,"Approval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010073",16,0.10930979675,0.0541764300027228,8,2,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010074",4,0.20362906825,0.205283926183623,4.25,2,"Approval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010075",12,0.0677858544166667,0.0460603679577829,1.91666666666667,2,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010076",11,0.0738694130909091,0.069287890387526,0.727272727272727,4,"Approval",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010077",7,0.120243265285714,0.13682070880181,5.71428571428571,2,"Approval",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010078",7,0.116883050571429,0.184377812842366,2.71428571428571,3,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010079",1,0.805767641,NA,0,1,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010080",4,0.212521033,0.242671775442762,10,2,"Approval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010081",8,0.10574929475,0.269019412021359,5.25,2,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010082",8,0.10492698725,0.250957129718496,4.875,2,"Approval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010083",1,0.814397359,NA,0,1,"Rejected",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
"CN201401010084",16,0.052532505875,0.0630424742090474,2.9375,4,"Approval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010085",8,0.101419040625,0.0928697535094398,2.375,3,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010086",6,0.135707270166667,0.15294579088874,1.83333333333333,3,"Approval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010087",14,0.060126911,0.121632907304018,2.5,3,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010088",7,0.119798856714286,0.137246661019178,5.42857142857143,2,"Approval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010089",7,0.120984957571429,0.094761264675016,10.4285714285714,1,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010090",1,0.816877554,NA,0,1,"Approval",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010091",6,0.139413547166667,0.163109448544195,3.83333333333333,3,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010092",2,0.869942675,0,0,1,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010093",8,0.102320978,0.127654296700991,5.75,2,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010094",25,0.0334044662,0.0618225280777453,2.96,2,"Approval",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010095",5,0.1650326546,0.202716817355605,5.4,1,"Approval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010097",26,0.0334826916923077,0.0565316986912005,2.53846153846154,5,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010099",8,0.102908113,0.183816243233511,1.75,4,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010101",10,0.0847352096,0.0886121913986336,4.1,4,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010102",6,0.1352459145,0.051350426316981,1.66666666666667,2,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010103",8,0.101283936,0.0990280478846723,1.375,3,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010104",14,0.0586509889285714,0.0742693678447162,1,4,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010105",17,0.0491184942941176,0.0677102509570077,1.94117647058824,5,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010106",8,0.10222489175,0.0456654836786065,2.125,1,"Approval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010107",6,0.138387919,0.207488353607925,4,1,"Approval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010108",10,0.0808163323,0.104573284243917,0.8,3,"Approval",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010109",7,0.117284686857143,0.241252106734196,3,2,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010112",7,0.116307958428571,0.108756065206113,3.71428571428571,3,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010113",2,0.403777795,0.127935243172465,1,2,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010114",8,0.103234063375,0.13910687228065,5,2,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010115",6,0.139905749833333,0.147790635284726,4,4,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010116",17,0.0491537435294118,0.0803781242659282,3,4,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010117",5,0.1637798166,0.209765260509275,6,3,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
